Shop,Item,Date,Whether_holiday,Current_Price,Maximum_price,Total_qty_sold
E,3,4/29/2021,FALSE,23.95,23.95,90
E,3,3/18/2021,FALSE,23.95,23.95,97
E,3,6/3/2021,FALSE,23.95,23.95,92
E,3,6/17/2021,FALSE,23.95,23.95,92
C,3,3/18/2021,FALSE,23.95,23.95,71
E,3,3/19/2019,FALSE,21.95,21.95,87
E,3,3/25/2021,FALSE,23.95,23.95,61
E,3,5/27/2021,FALSE,23.95,23.95,85
E,3,6/24/2021,FALSE,23.95,23.95,98
E,3,10/28/2021,FALSE,23.95,23.95,82
C,3,3/19/2019,FALSE,21.95,21.95,72
E,3,6/10/2021,FALSE,23.95,23.95,74
C,3,6/11/2019,FALSE,21.95,21.95,99
C,3,5/27/2021,FALSE,23.95,23.95,95
E,3,12/31/2019,TRUE,21.95,21.95,89
E,3,2/25/2021,FALSE,23.95,23.95,98
E,3,5/20/2021,FALSE,23.95,23.95,98
E,3,9/30/2021,FALSE,23.95,23.95,82
E,3,12/30/2021,TRUE,23.95,23.95,47
E,3,6/15/2022,FALSE,21.95,21.95,99
E,3,6/22/2022,FALSE,21.95,21.95,95
E,3,6/29/2022,FALSE,21.95,21.95,69
C,3,6/25/2019,FALSE,21.95,21.95,83
C,3,4/22/2021,FALSE,23.95,23.95,85
E,3,5/21/2019,FALSE,21.95,21.95,91
E,3,6/25/2019,FALSE,21.95,21.95,74
E,3,10/29/2019,FALSE,21.95,21.95,66
E,3,3/11/2021,FALSE,23.95,23.95,88
E,3,4/15/2021,FALSE,23.95,23.95,83
E,3,4/22/2021,FALSE,23.95,23.95,78
E,3,9/23/2021,FALSE,23.95,23.95,92
E,3,10/21/2021,FALSE,23.95,23.95,99
E,3,5/25/2022,FALSE,21.95,21.95,95
C,3,4/30/2019,FALSE,21.95,21.95,99
C,3,6/18/2019,FALSE,21.95,21.95,97
C,3,12/31/2019,TRUE,21.95,21.95,94
C,3,4/1/2021,FALSE,23.95,23.95,41
C,3,4/29/2021,FALSE,23.95,23.95,83
C,3,6/24/2021,FALSE,23.95,23.95,76
E,3,5/14/2019,FALSE,21.95,21.95,100
E,3,5/28/2019,FALSE,21.95,21.95,76
E,3,6/11/2019,FALSE,21.95,21.95,83
E,3,6/18/2019,FALSE,21.95,21.95,64
E,3,2/18/2021,FALSE,23.95,23.95,100
E,3,5/13/2021,FALSE,23.95,23.95,68
E,3,10/14/2021,FALSE,23.95,23.95,88
E,3,3/16/2022,FALSE,21.95,21.95,95
E,3,3/23/2022,FALSE,21.95,21.95,83
E,3,4/6/2022,FALSE,21.95,21.95,99
E,3,4/13/2022,FALSE,21.95,21.95,69
E,3,5/18/2022,FALSE,21.95,21.95,88
E,3,6/1/2022,FALSE,21.95,21.95,87
E,3,4/23/2019,FALSE,21.95,21.95,51
E,3,2/4/2021,FALSE,23.95,23.95,41
E,3,3/4/2021,FALSE,23.95,23.95,71
E,3,9/16/2021,FALSE,23.95,23.95,97
C,3,9/17/2019,FALSE,21.95,21.95,46
C,3,10/1/2019,FALSE,21.95,21.95,29
C,3,10/29/2019,FALSE,21.95,21.95,86
C,3,2/25/2021,FALSE,23.95,23.95,62
C,3,4/15/2021,FALSE,23.95,23.95,74
C,3,5/13/2021,FALSE,23.95,23.95,92
C,3,6/17/2021,FALSE,23.95,23.95,91
E,3,2/26/2019,FALSE,21.95,21.95,99
E,3,3/12/2019,FALSE,21.95,21.95,96
E,3,4/2/2019,FALSE,21.95,21.95,96
E,3,4/9/2019,FALSE,21.95,21.95,71
E,3,4/30/2019,FALSE,21.95,21.95,93
E,3,6/4/2019,FALSE,21.95,21.95,88
E,3,10/15/2019,FALSE,21.95,21.95,88
E,3,2/11/2021,TRUE,23.95,23.95,89
E,3,4/1/2021,FALSE,23.95,23.95,89
E,3,5/6/2021,FALSE,23.95,23.95,95
E,3,9/9/2021,TRUE,23.95,23.95,79
E,3,10/7/2021,FALSE,23.95,23.95,91
E,3,12/2/2021,FALSE,23.95,23.95,96
E,3,12/9/2021,FALSE,23.95,23.95,90
E,3,3/2/2022,FALSE,21.95,21.95,100
E,3,3/9/2022,FALSE,21.95,21.95,62
E,3,4/20/2022,FALSE,21.95,21.95,74
E,3,10/12/2022,FALSE,21.95,21.95,79
C,3,4/2/2019,FALSE,21.95,21.95,72
E,3,5/7/2019,FALSE,21.95,21.95,90
E,3,10/8/2019,FALSE,21.95,21.95,84
E,3,10/22/2019,FALSE,21.95,21.95,71
E,3,3/30/2022,FALSE,21.95,21.95,96
E,3,6/8/2022,FALSE,21.95,21.95,93
E,3,10/19/2022,FALSE,21.95,21.95,83
C,1,7/16/2019,FALSE,11.95,11.95,80
C,3,4/9/2019,FALSE,21.95,21.95,85
C,3,4/16/2019,FALSE,21.95,21.95,98
C,3,5/21/2019,FALSE,21.95,21.95,97
C,3,6/4/2019,FALSE,21.95,21.95,88
C,3,9/10/2019,TRUE,21.95,21.95,99
C,3,2/18/2021,FALSE,23.95,23.95,86
C,3,3/4/2021,FALSE,23.95,23.95,93
C,3,3/11/2021,FALSE,23.95,23.95,89
C,3,4/8/2021,FALSE,23.95,23.95,82
C,3,5/6/2021,FALSE,23.95,23.95,89
C,3,6/3/2021,FALSE,23.95,23.95,98
C,3,10/14/2021,FALSE,23.95,23.95,65
C,3,12/30/2021,TRUE,23.95,23.95,70
C,3,6/29/2022,FALSE,21.95,21.95,77
E,3,2/19/2019,FALSE,21.95,21.95,79
E,3,3/5/2019,FALSE,21.95,21.95,98
E,3,4/16/2019,FALSE,21.95,21.95,96
E,3,9/17/2019,FALSE,21.95,21.95,91
E,3,10/1/2019,FALSE,21.95,21.95,90
E,3,12/3/2019,FALSE,21.95,21.95,84
E,3,1/28/2021,FALSE,23.95,23.95,74
E,3,5/11/2022,FALSE,21.95,21.95,88
E,3,10/5/2022,FALSE,21.95,21.95,70
E,3,10/26/2022,FALSE,21.95,21.95,70
C,1,8/6/2019,FALSE,11.95,11.95,45
C,1,1/7/2021,FALSE,12.95,12.95,93
C,3,5/28/2019,FALSE,21.95,21.95,35
C,3,2/4/2021,FALSE,23.95,23.95,79
C,3,2/11/2021,TRUE,23.95,23.95,46
C,3,10/21/2021,FALSE,23.95,23.95,68
E,3,9/10/2019,TRUE,21.95,21.95,100
E,3,9/24/2019,FALSE,21.95,21.95,89
E,3,4/8/2021,FALSE,23.95,23.95,97
E,3,2/17/2022,FALSE,21.95,21.95,75
E,3,2/24/2022,FALSE,21.95,21.95,99
E,3,4/27/2022,FALSE,21.95,21.95,55
E,3,9/14/2022,FALSE,21.95,21.95,98
C,1,7/8/2021,FALSE,12.95,12.95,100
C,3,5/7/2019,FALSE,21.95,21.95,83
C,3,5/14/2019,FALSE,21.95,21.95,87
C,3,3/25/2021,FALSE,23.95,23.95,67
C,3,5/20/2021,FALSE,23.95,23.95,94
C,3,9/30/2021,FALSE,23.95,23.95,72
C,3,10/28/2021,FALSE,23.95,23.95,99
C,3,3/16/2022,FALSE,21.95,21.95,65
E,3,2/12/2019,TRUE,21.95,21.95,72
E,3,3/26/2019,FALSE,21.95,21.95,68
E,3,1/7/2021,FALSE,23.95,23.95,83
E,3,1/14/2021,FALSE,23.95,23.95,92
E,3,12/16/2021,FALSE,23.95,23.95,85
E,3,2/10/2022,TRUE,21.95,21.95,90
E,3,9/28/2022,FALSE,21.95,21.95,85
C,1,7/23/2019,FALSE,11.95,11.95,25
C,1,8/13/2019,FALSE,11.95,11.95,92
C,1,8/27/2019,FALSE,11.95,11.95,50
C,1,6/24/2021,FALSE,12.95,12.95,79
C,3,1/14/2021,FALSE,23.95,23.95,74
C,3,9/16/2021,FALSE,23.95,23.95,100
C,3,10/7/2021,FALSE,23.95,23.95,96
E,3,2/3/2022,FALSE,21.95,21.95,51
E,3,5/4/2022,FALSE,21.95,21.95,52
C,1,4/16/2019,FALSE,11.95,11.95,96
C,1,8/20/2019,FALSE,11.95,11.95,96
C,1,7/29/2021,FALSE,12.95,12.95,87
C,3,3/12/2019,FALSE,21.95,21.95,74
C,3,4/23/2019,FALSE,21.95,21.95,64
C,3,9/24/2019,FALSE,21.95,21.95,55
C,3,10/22/2019,FALSE,21.95,21.95,73
C,3,9/23/2021,FALSE,23.95,23.95,98
C,3,12/2/2021,FALSE,23.95,23.95,93
C,3,4/6/2022,FALSE,21.95,21.95,62
E,3,12/10/2019,FALSE,21.95,21.95,79
E,3,1/21/2021,FALSE,23.95,23.95,100
E,3,12/23/2021,FALSE,23.95,23.95,95
E,3,1/20/2022,FALSE,21.95,21.95,43
E,3,1/27/2022,FALSE,21.95,21.95,100
E,3,9/21/2022,FALSE,21.95,21.95,99
C,1,4/30/2019,FALSE,11.95,11.95,89
C,1,7/2/2019,FALSE,11.95,11.95,98
C,1,7/30/2019,FALSE,11.95,11.95,92
C,1,6/10/2021,FALSE,12.95,12.95,88
C,1,8/12/2021,FALSE,12.95,12.95,80
C,1,8/19/2021,FALSE,12.95,12.95,95
C,3,10/8/2019,FALSE,21.95,21.95,70
C,3,3/30/2022,FALSE,21.95,21.95,100
E,3,2/5/2019,FALSE,21.95,21.95,86
E,3,12/17/2019,FALSE,21.95,21.95,60
G,3,5/20/2021,FALSE,23.95,23.95,82
C,1,4/23/2019,FALSE,11.95,11.95,42
C,1,6/18/2019,FALSE,11.95,11.95,80
C,1,6/25/2019,FALSE,11.95,11.95,51
C,1,6/3/2021,FALSE,12.95,12.95,75
C,1,7/15/2021,FALSE,12.95,12.95,99
C,3,3/5/2019,FALSE,21.95,21.95,70
C,3,3/26/2019,FALSE,21.95,21.95,71
C,3,10/15/2019,FALSE,21.95,21.95,99
C,3,12/10/2019,FALSE,21.95,21.95,61
C,3,1/21/2021,FALSE,23.95,23.95,63
C,3,6/10/2021,FALSE,23.95,23.95,49
C,3,9/9/2021,TRUE,23.95,23.95,99
C,3,12/9/2021,FALSE,23.95,23.95,56
C,3,4/13/2022,FALSE,21.95,21.95,95
E,3,1/13/2022,FALSE,21.95,21.95,95
C,1,7/9/2019,FALSE,11.95,11.95,96
C,1,7/22/2021,FALSE,12.95,12.95,86
C,1,9/2/2021,FALSE,12.95,12.95,99
C,1,9/9/2021,TRUE,12.95,12.95,93
C,3,2/19/2019,FALSE,21.95,21.95,70
C,1,6/11/2019,FALSE,11.95,11.95,70
C,1,7/1/2021,FALSE,12.95,12.95,96
C,1,8/5/2021,FALSE,12.95,12.95,32
C,3,2/5/2019,FALSE,21.95,21.95,96
C,3,12/3/2019,FALSE,21.95,21.95,66
C,3,1/28/2021,FALSE,23.95,23.95,66
C,3,12/16/2021,FALSE,23.95,23.95,87
C,3,3/23/2022,FALSE,21.95,21.95,85
C,3,6/1/2022,FALSE,21.95,21.95,55
C,3,10/26/2022,FALSE,21.95,21.95,74
E,3,9/3/2019,FALSE,21.95,21.95,73
E,3,9/2/2021,FALSE,23.95,23.95,100
G,3,5/28/2019,FALSE,21.95,21.95,90
G,3,4/29/2021,FALSE,23.95,23.95,98
G,3,5/13/2021,FALSE,23.95,23.95,92
H,3,6/10/2021,FALSE,23.95,23.95,36
H,3,6/24/2021,FALSE,23.95,23.95,98
C,1,1/21/2021,FALSE,12.95,12.95,69
C,3,2/26/2019,FALSE,21.95,21.95,82
C,3,1/7/2021,FALSE,23.95,23.95,79
C,3,9/28/2022,FALSE,21.95,21.95,100
G,3,6/4/2019,FALSE,21.95,21.95,89
G,3,5/27/2021,FALSE,23.95,23.95,37
H,3,6/22/2022,FALSE,21.95,21.95,94
C,1,6/4/2019,FALSE,11.95,11.95,93
C,1,9/3/2019,FALSE,11.95,11.95,92
C,1,11/12/2019,FALSE,11.95,11.95,45
C,1,6/17/2021,FALSE,12.95,12.95,94
C,1,8/26/2021,FALSE,12.95,12.95,93
C,3,2/12/2019,TRUE,21.95,21.95,92
C,3,12/17/2019,FALSE,21.95,21.95,81
C,3,12/23/2021,FALSE,23.95,23.95,90
C,3,3/2/2022,FALSE,21.95,21.95,59
C,3,3/9/2022,FALSE,21.95,21.95,85
C,3,4/20/2022,FALSE,21.95,21.95,94
C,3,4/27/2022,FALSE,21.95,21.95,89
C,3,10/12/2022,FALSE,21.95,21.95,98
C,3,10/19/2022,FALSE,21.95,21.95,61
E,3,12/24/2019,FALSE,21.95,21.95,94
E,3,1/6/2022,FALSE,21.95,21.95,83
G,3,4/30/2019,FALSE,21.95,21.95,100
G,3,5/14/2019,FALSE,21.95,21.95,29
G,3,6/11/2019,FALSE,21.95,21.95,42
G,3,5/6/2021,FALSE,23.95,23.95,97
C,1,3/19/2019,FALSE,11.95,11.95,93
C,1,11/26/2019,TRUE,11.95,11.95,82
C,1,1/14/2021,FALSE,12.95,12.95,67
C,1,1/28/2021,FALSE,12.95,12.95,71
C,1,3/18/2021,FALSE,12.95,12.95,95
C,1,8/10/2022,FALSE,12.95,12.95,70
C,3,12/24/2019,FALSE,21.95,21.95,88
C,3,6/8/2022,FALSE,21.95,21.95,72
G,3,4/15/2021,FALSE,23.95,23.95,42
G,3,6/3/2021,FALSE,23.95,23.95,84
A,3,6/24/2021,FALSE,23.95,23.95,85
C,1,3/5/2019,FALSE,11.95,11.95,91
C,1,9/10/2019,TRUE,11.95,11.95,92
C,1,9/16/2021,FALSE,12.95,12.95,90
C,1,7/13/2022,FALSE,12.95,12.95,79
C,3,1/27/2022,FALSE,21.95,21.95,81
C,3,2/24/2022,FALSE,21.95,21.95,93
C,3,5/4/2022,FALSE,21.95,21.95,57
C,3,6/15/2022,FALSE,21.95,21.95,70
C,3,9/21/2022,FALSE,21.95,21.95,96
G,3,4/16/2019,FALSE,21.95,21.95,96
G,3,5/7/2019,FALSE,21.95,21.95,94
G,3,4/22/2021,FALSE,23.95,23.95,94
H,3,3/19/2019,FALSE,21.95,21.95,75
H,3,6/17/2021,FALSE,23.95,23.95,95
C,1,12/31/2019,TRUE,11.95,11.95,95
C,1,9/30/2021,FALSE,12.95,12.95,87
C,3,5/25/2022,FALSE,21.95,21.95,96
H,3,5/27/2021,FALSE,23.95,23.95,52
C,1,3/12/2019,FALSE,11.95,11.95,75
C,1,10/1/2019,FALSE,11.95,11.95,94
C,1,3/11/2021,FALSE,12.95,12.95,66
C,1,4/1/2021,FALSE,12.95,12.95,95
C,1,1/6/2022,FALSE,12.95,12.95,94
C,3,1/13/2022,FALSE,21.95,21.95,92
C,3,2/3/2022,FALSE,21.95,21.95,77
C,3,2/10/2022,TRUE,21.95,21.95,96
C,3,2/17/2022,FALSE,21.95,21.95,35
C,3,5/11/2022,FALSE,21.95,21.95,90
C,3,5/18/2022,FALSE,21.95,21.95,75
C,3,10/5/2022,FALSE,21.95,21.95,76
G,3,4/23/2019,FALSE,21.95,21.95,88
G,3,5/21/2019,FALSE,21.95,21.95,81
G,3,6/17/2021,FALSE,23.95,23.95,62
G,3,5/11/2022,FALSE,21.95,21.95,50
H,3,5/28/2019,FALSE,21.95,21.95,90
H,3,6/11/2019,FALSE,21.95,21.95,92
H,3,3/18/2021,FALSE,23.95,23.95,100
H,3,5/13/2021,FALSE,23.95,23.95,81
H,3,10/28/2021,FALSE,23.95,23.95,100
H,3,12/30/2021,TRUE,23.95,23.95,90
H,3,3/16/2022,FALSE,21.95,21.95,60
H,3,6/15/2022,FALSE,21.95,21.95,98
H,3,6/29/2022,FALSE,21.95,21.95,60
C,1,11/11/2021,FALSE,12.95,12.95,49
C,3,1/6/2022,FALSE,21.95,21.95,78
C,3,1/20/2022,FALSE,21.95,21.95,25
E,3,9/7/2022,TRUE,21.95,21.95,92
G,1,4/27/2022,FALSE,12.95,12.95,27
G,3,10/29/2019,FALSE,21.95,21.95,62
G,3,6/10/2021,FALSE,23.95,23.95,89
C,1,9/17/2019,FALSE,11.95,11.95,71
C,1,9/24/2019,FALSE,11.95,11.95,86
C,1,11/19/2019,FALSE,11.95,11.95,52
C,1,3/4/2021,FALSE,12.95,12.95,77
C,1,3/25/2021,FALSE,12.95,12.95,78
C,1,6/1/2022,FALSE,12.95,12.95,79
C,1,7/6/2022,FALSE,12.95,12.95,94
C,1,7/20/2022,FALSE,12.95,12.95,90
C,1,8/17/2022,FALSE,12.95,12.95,99
C,3,9/3/2019,FALSE,21.95,21.95,47
C,3,6/22/2022,FALSE,21.95,21.95,93
G,1,4/23/2019,FALSE,11.95,11.95,58
G,3,2/26/2019,FALSE,21.95,21.95,99
G,3,6/18/2019,FALSE,21.95,21.95,48
G,3,6/25/2019,FALSE,21.95,21.95,77
G,3,2/11/2021,TRUE,23.95,23.95,71
G,3,2/25/2021,FALSE,23.95,23.95,53
G,3,10/14/2021,FALSE,23.95,23.95,83
G,3,10/28/2021,FALSE,23.95,23.95,80
G,3,5/4/2022,FALSE,21.95,21.95,70
G,3,5/18/2022,FALSE,21.95,21.95,94
